Datum,Stevilo,Drzava
2015-07-24,1-2,"Finska- Madžarska, Španija"
2015-07-31,-4,"- Danska, Italija, Nemčija, Španija"
2015-08-07,-3,"- Finska, Nemčija 2x"
2015-08-14,-3,"- Danska, Nemčija, Švedska"
2015-08-21,-2,"- Estonija, Nemčija"
2015-08-28,-5,"- Danska, Hrvaška, Italija 2x, Slovenija"
2015-09-04,1-4,"Finska -Finska 2x, Nemčija 2x"
2015-09-11,-4,"- Finska, Nemčija-2x, Španija"
2015-09-18,-3,"- Finska, Nemčija 2x"
2015-09-25,-1,- Italija
2015-10-02,-4,"- Danska, Finska, Italija, Nemčija"
2015-10-09,1-1,Španija- Finska
2015-10-16,-1,- Nemčija
2015-10-23,-3,"- Danska, Nemčija2x"
2015-10-30,-1,- Nemčija
2015-11-06,-6,"- Danska, Finska, Nemčija 4x"
2015-11-13,1-1,Nemčija- Slovaška
2015-11-20,-1,- Danska
2015-11-27,-2,- Nemčija 2x
2015-12-04,-5,- Nemčija5x
2015-12-11,-1,- Nemčija
2015-12-18,-3,- Finska 3x
2015-12-25,-3,"- Finska, Nemčija2x"
2016-01-01,1-4,"Nemčija- Finska, Nemčija3x"
2016-01-08,-2,- Nemčija - 2x
2016-01-15,-1,- Nemčija
2016-01-22,1-1,Finska- Norveška
2016-02-05,-1,- Nemčija
2016-02-12,-2,- Nemčija 2x
2016-02-19,-1,- Danska
2016-02-26,-5,"- Madžarska, Nemčija, Slovenija: Sežana, Španija 2x"
2016-03-04,-8,"- Danska-2x, Italija, Nemčija-5x"
2016-03-11,-2,"- Češka, Nemčija"
2016-03-18,-3,"- Danska, Finska, Nemčija"
2016-03-25,1-6,"Nemčija-Nemčija 4x, Slovaška, Švedska"
2016-04-01,-1,- Nemčija
2016-04-08,-2,"- Danska, Norveška"
2016-04-15,-2,"- Nemčija, Norveška"
2016-04-22,1-3,"Nemčija -Danska, Nemčija 2x"
2016-04-29,-2,"- Češka, Švedska"
2016-05-06,1-3,Nemčija -Nemčija 3x
2016-05-13,1-1,Finska -Italija
2016-05-20,-3,"- Finska, Slovenija: Ljubljana, Švedska"
2016-05-27,-4,"- Finska, Nemčija 2x, Švedska"
2016-06-03,-2,- Nemčija 2x
2016-06-17,-5,"- Danska, Hrvaška, Italija, Nemčija, Španija"
2016-06-24,-1,- Nemčija
2016-07-01,-3,"- Finska, Italija, Nemčija"
2016-07-08,-3,"- Finska, Madžarska, Nemčija"
2016-07-15,-1,- Finska
2016-07-22,-5,"- Češka, Danska, Italija, Madžarska, Nemčija"
2016-07-29,1-11,"Nemčija- Danska, Finska 2x, Nemčija 6x, Norveška, Slovaška"
2016-08-12,-2,"- Estonija, Nemčija"
2016-08-19,-1,- Nemčija
2016-08-26,-2,- Nemčija-2x
2016-09-02,-2,- Nemčija 2x
2016-09-09,-2,"- Nemčija, Švedska"
2016-09-16,-5,"- Danska, Madžarska, Nemčija2x, Nizozemska"
2016-09-23,-4,"- Danska, Italija, Nemčija2x"
2016-09-30,-1,- Nemčija
2016-10-07,-2,"- Finska, Nemčija"
2016-10-14,1-8,"Nemčija-Finska 2x, Nemčija 5x, Nizozemska"
2016-10-21,1-6,"Nemčija- Danska, Češka, Finska, Italija, Nemčija, Norveška"
2016-10-28,-12,"- Češka, Danska, Finska, Nemčija 6x, Slovaška3x"
2016-11-04,-3,"- Finska, Nemčija, Norveška"
2016-11-11,-2,"- Finska, Nemčija"
2016-11-18,-5,"- Nemčija-4x, Slovaška"
2016-11-25,-4,"- Danska, Finska-2x, Nemčija"
2016-12-02,-3,"- Nemčija-2x, Španija"
2016-12-09,-3,"- Nemčija, Španija, Švedska"
2016-12-16,-3,"- Finska, Nemčija 2x"
2016-12-23,-4,"- Finska, Nemčija 2x, Nizozemska"
2016-12-30,-5,"- Češka, Nemčija 4x"
2017-01-06,5-35,"Danska, Nemčija 3x, Nizozemska- Danska, Hrvaška 2x, Italija 2x, Latvija, Madžarska, Nemčija 25x, Nizozemska 2x, Slovenija: Nova Gorica"
2017-01-13,-3,"- Estonija, Nemčija, Norveška"
2017-01-20,-2,- Nemčija 2x
2017-01-27,-2,- Nemčija 2x
2017-02-03,-4,"- Danska, Nemčija 3x"
2017-02-10,2-3,"Madžarska, Nemčija -Finska, Nemčija 2x"
2017-02-17,-6,"- Finska, Nemčija 4x, Slovenija: Kranj"
2017-02-24,-7,"- Nemčija 4x, Nizozemska 2x, Švedska"
2017-03-03,-3,- Nemčija-3x
2017-03-10,-4,"- Nemčija 3x, Španija"
2017-03-17,-9,"- Danska, Finska 2x, Hrvaška, Nemčija 4x, Švedska"
2017-03-24,-3,"- Finska, Madžarska, Nemčija"
2017-03-31,-4,"- Nemčija 3x, Norveška"
2017-04-07,-6,"- Češka, Finska, Madžarska, Nemčija, Španija, Švedska"
2017-04-14,1-3,"Finska- Danska, Finska, Nemčija"
2017-04-21,-4,"- Finska, Nemčija - 2x, Švedska"
2017-05-05,-2,- Nemčija 2x
2017-05-12,-2,- Finska 2x
2017-05-19,-3,"- Češka, Finska, Nemčija"
2017-05-26,1-7,"Nemčija- Danska 2x, Finska 2x, Nemčija 3x"
2017-06-02,-4,"- Finska, Nemčija, Švedska 2x"
2017-06-09,-5,"- Danska 2x, Nemčija, Nizozemska, Španija"
2017-06-23,-5,"- Nemčija 4x, Norveška"
2017-06-30,-5,"- Danska 2x, Nemčija 2x, Slovaška"
2017-07-07,1-2,"Finska- Estonija, Nizozemska"
2017-07-14,-3,"- Finska, Nemčija 2x"
2017-08-11,-2,"- Nemčija, Španija"
2017-08-18,1-4,"Norveška - Finska 2x,Madžarska 2x"
2017-08-25,-3,- Nemčija 3x
2017-09-01,-2,"- Finska, Nizozemska"
2017-09-08,-3,"- Češka, Nemčija, Švedska"
2017-09-15,2-5,"Nemčija 2x - Madžarska, Nemčija 3x, Norveška"
2017-09-22,-1,- Nemčija
2017-09-29,-3,"- Danska, Nemčija, Poljska"
2017-10-06,-1,- Španija
