Datum,Dobitek,Vrednost
05.02.2016,6,"-2.111.427,20"
12.02.2016,7,"-556.439,90"
19.02.2016,8,"-1.189.732,50"
26.02.2016,9,"-270.193,80"
04.03.2016,10,"-198.145,80"
11.03.2016,11,"-931.858,50"
18.03.2016,12,"-726.652,30"
25.03.2016,13,"76.766.891,40421.735,30"
01.04.2016,14,"-1.147.821,30"
08.04.2016,15,"-578.888,20"
15.04.2016,16,"-615.935,80"
22.04.2016,17,"29.071.164,30426.725,40"
29.04.2016,18,"-544.175,00"
06.05.2016,19,"14.476.862,80352.345,60"
13.05.2016,20,"10.000.000,001.053.778,20"
20.05.2016,21,"-331.489,90"
27.05.2016,22,"-251.130,90"
03.06.2016,23,"-538.743,40"
17.06.2016,25,"-472.273,80"
24.06.2016,26,"-1.316.493,60"
01.07.2016,27,"-497.203,30"
08.07.2016,28,"-532.106,00"
15.07.2016,29,"-1.844.221,60"
22.07.2016,30,"-417.118,90"
29.07.2016,31,"84.777.435,80241.736,40"
12.08.2016,33,"-1.155.687,70"
19.08.2016,34,"-1.186.893,40"
26.08.2016,35,"-614.363,80"
02.09.2016,36,"-684.982,70"
09.09.2016,37,"-757.473,20"
16.09.2016,38,"-346.062,40"
23.09.2016,39,"-498.907,50"
30.09.2016,40,"-2.404.162,60"
07.10.2016,41,"-4.079.856,90"
14.10.2016,42,"90.000.000,002.780.570,90"
21.10.2016,43,"10.549.199,70220.977,10"
28.10.2016,44,"-106.182,20"
04.11.2016,45,"-432.594,10"
11.11.2016,46,"-666.056,20"
18.11.2016,47,"-280.478,30"
25.11.2016,48,"-376.417,40"
02.12.2016,49,"-568.696,60"
09.12.2016,50,"-607.948,60"
16.12.2016,51,"-696.069,70"
23.12.2016,52,"-662.337,80"
30.12.2016,53,"-2.656.767,00"
06.01.2017,1,"18.000.000,00596.446,70"
13.01.2017,2,"-483.921,80"
20.01.2017,3,"-695.022,30"
27.01.2017,4,"-723.952,00"
03.02.2017,5,"-398.732,30"
10.02.2017,6,"22.569.527,60568.323,80"
17.02.2017,7,"-216.658,70"
24.02.2017,8,"-188.021,30"
03.03.2017,9,"-468.753,00"
10.03.2017,10,"-372.000,20"
17.03.2017,11,"-178.022,10"
24.03.2017,12,"-578.497,30"
31.03.2017,13,"-489.804,10"
07.04.2017,14,"-374.807,90"
14.04.2017,15,"86.970.702,80821.662,00"
21.04.2017,16,"-322.331,50"
05.05.2017,18,"-1.374.940,80"
12.05.2017,19,"-731.856,10"
19.05.2017,20,"-516.438,40"
26.05.2017,21,"50.270.035,20228.137,00"
02.06.2017,22,"-304.941,10"
09.06.2017,23,"-246.729,00"
23.06.2017,25,"-531.211,90"
30.06.2017,26,"-299.394,50"
07.07.2017,27,"46.505.018,60801.352,60"
14.07.2017,28,"-410.780,70"
11.08.2017,32,"-2.737.236,60"
18.08.2017,33,"47.357.065,00415.861,50"
25.08.2017,34,"-407.221,10"
01.09.2017,35,"-642.089,40"
08.09.2017,36,"-447.913,70"
15.09.2017,37,"15.363.349,60308.244,30"
22.09.2017,38,"-1.281.937,10"
29.09.2017,39,"-446.711,60"
06.10.2017,40,"-1.393.936,70"
13.10.2017,41,"-817.025,00"
20.10.2017,42,"41.570.496,90435.251,60"
27.10.2017,43,"-1.289.927,70"
10.11.2017,45,"23.425.613,90919.573,10"
17.11.2017,46,"10.000.000,00-"
24.11.2017,47,"10.000.000,001.242.185,30"
01.12.2017,48,"-416.053,60"
08.12.2017,49,"-321.831,80"
22.12.2017,51,"-1.476.716,40"
29.12.2017,52,"-1.664.701,80"
05.01.2018,1,"-452.853,80"
12.01.2018,2,"-2.082.967,20"
19.01.2018,3,"-476.872,50"
26.01.2018,4,"-1.515.220,90"
02.02.2018,5,"-2.921.419,30"
09.02.2018,6,"90.000.000,003.520.586,10"
16.02.2018,7,"-1.614.745,60"
23.02.2018,8,"-546.393,50"
02.03.2018,9,"-440.725,60"
09.03.2018,10,"42.670.719,30317.860,60"
23.03.2018,12,"17.461.478,80425.220,60"
30.03.2018,13,"-343.149,10"
06.04.2018,14,"-1.406.265,30"
13.04.2018,15,"-321.585,00"
20.04.2018,16,"-526.678,10"
27.04.2018,17,"-440.544,40"
04.05.2018,18,"-392.271,40"
11.05.2018,19,"-702.147,40"
18.05.2018,20,"-632.321,70"
25.05.2018,21,"-2.327.357,80"
01.06.2018,22,"-7.318.844,80"
08.06.2018,23,"-4.673.083,20"
15.06.2018,24,"-853.136,90"
22.06.2018,25,"-2.173.407,10"
29.06.2018,26,"-5.966.268,70"
06.07.2018,27,"45.000.000,00999.914,60"
13.07.2018,28,"-896.645,60"
20.07.2018,29,"22.736.889,80582.528,30"
27.07.2018,30,"-1.555.928,40"
03.08.2018,31,"-332.426,40"
10.08.2018,32,"-578.753,60"
17.08.2018,33,"-369.648,50"
24.08.2018,34,"-1.002.723,60"
31.08.2018,35,"30.920.808,3096.645,80"
07.09.2018,36,"-522.991,80"
14.09.2018,37,"-1.634.210,00"
21.09.2018,38,"-580.434,10"
28.09.2018,39,"-454.542,60"
05.10.2018,40,"-493.312,50"
12.10.2018,41,"-2.226.367,10"
19.10.2018,42,"-172.489,90"
26.10.2018,43,"-1.234.568,50"
02.11.2018,44,"-3.100.089,50"
09.11.2018,45,"-7.529.076,40"
16.11.2018,46,"18.000.000,003.848.561,50"
23.11.2018,47,"-291.386,50"
30.11.2018,48,"-609.436,50"
07.12.2018,49,"33.208.146,80951.428,50"
